INFO  - 2018-07-02 06:11:40.413; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:986874141562175488)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.417; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[986874141562175488 (1604831622376456192)]} 0 0
INFO  - 2018-07-02 06:11:40.425; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:986108670223118341)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.430; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[986108670223118341 (1604831622390087680)]} 0 0
INFO  - 2018-07-02 06:11:40.440; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:986866436764196864)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.444; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[986866436764196864 (1604831622404767744)]} 0 0
INFO  - 2018-07-02 06:11:40.452; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:986464806608633857)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.457; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[986464806608633857 (1604831622418399232)]} 0 0
INFO  - 2018-07-02 06:11:40.466; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:987266057764126720)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.470; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[987266057764126720 (1604831622432030720)]} 0 0
INFO  - 2018-07-02 06:11:40.482; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:986137844937715712)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.486; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[986137844937715712 (1604831622448807936)]} 0 0
INFO  - 2018-07-02 06:11:40.495; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:986166529224945664)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.500; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[986166529224945664 (1604831622463488000)]} 0 0
INFO  - 2018-07-02 06:11:40.512; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:988334856818995200)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.517; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[988334856818995200 (1604831622481313792)]} 0 0
INFO  - 2018-07-02 06:11:40.526; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:987167926133256192)&start=0&rows=1&wt=json} hits=1 status=0 QTime=1 
INFO  - 2018-07-02 06:11:40.530; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[987167926133256192 (1604831622494945280)]} 0 0
INFO  - 2018-07-02 06:11:40.538; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:987257035363241984)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.543; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[987257035363241984 (1604831622508576768)]} 0 0
INFO  - 2018-07-02 06:11:40.551; org.apache.solr.core.SolrCore; [twitter_user] webapp=/solr path=/select params={q=(id:970927760435630080)&start=0&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2018-07-02 06:11:40.556; org.apache.solr.update.processor.LogUpdateProcessor; [twitter_user] webapp=/solr path=/update/json params={} {add=[970927760435630080 (1604831622522208256)]} 0 0
